id,nome_normalizado,nome,sigla,habilitacao,coordenacao_id,grau_id,turno_id,created_at,updated_at
1,ADMINISTRACAO,Administração,,Administração Internacional de Negócios,,1,7,2024-11-12 20:03:28.938296,2024-11-12 20:03:28.938306
2,ADMINISTRACAO,Administração,,Administração Internacional de Negócios,,1,5,2024-11-12 20:03:28.942301,2024-11-12 20:03:28.942308
3,ADMINISTRACAO,Administração,,Administração,,1,7,2024-11-12 20:03:28.946585,2024-11-12 20:03:28.946593
4,ADMINISTRACAO,Administração,,Administração,,1,5,2024-11-12 20:03:28.949840,2024-11-12 20:03:28.949846
5,ADMINISTRACAOPUBLICA,Administração Pública,,Administração Pública,,1,5,2024-11-12 20:03:28.953173,2024-11-12 20:03:28.953179
6,ADMINISTRACAOPUBLICA,Administração Pública,,Administração Pública,,1,1,2024-11-12 20:03:28.956653,2024-11-12 20:03:28.956659
7,AGENTECOMUNITARIODESAUDE,Agente Comunitário de Saúde,,Agente Comunitário de Saúde,,4,3,2024-11-12 20:03:28.960774,2024-11-12 20:03:28.960780
8,AGROECOLOGIA,Agroecologia,,Agroecologia,,6,3,2024-11-12 20:03:28.964429,2024-11-12 20:03:28.964436
9,AGRONOMIA,Agronomia,,Agronomia,,1,8,2024-11-12 20:03:28.968102,2024-11-12 20:03:28.968108
10,ANALISEEDESENVOLVIMENTODESISTEMAS,Análise e Desenvolvimento de Sistemas,,Análise e Desenvolvimento de Sistemas,,6,5,2024-11-12 20:03:28.971418,2024-11-12 20:03:28.971424
11,ANALISEEDESENVOLVIMENTODESISTEMAS,Análise e Desenvolvimento de Sistemas,,Análise e Desenvolvimento de Sistemas,,6,6,2024-11-12 20:03:28.975408,2024-11-12 20:03:28.975414
12,ARQUITETURAEURBANISMO,Arquitetura e Urbanismo,,Arquitetura e Urbanismo,,1,8,2024-11-12 20:03:28.978559,2024-11-12 20:03:28.978565
13,ARTES,Artes,,Artes,,2,3,2024-11-12 20:03:28.981668,2024-11-12 20:03:28.981673
14,ARTESVISUAIS,Artes Visuais,,Artes Visuais,,1,3,2024-11-12 20:03:28.984757,2024-11-12 20:03:28.984762
15,ARTESVISUAIS,Artes Visuais,,Artes Visuais,,2,3,2024-11-12 20:03:28.987879,2024-11-12 20:03:28.987884
16,BIOMEDICINA,Biomedicina,,Biomedicina,,1,8,2024-11-12 20:03:28.990941,2024-11-12 20:03:28.990947
17,BIOTECNOLOGIA,Biotecnologia,,Biotecnologia,,6,5,2024-11-12 20:03:28.994231,2024-11-12 20:03:28.994237
18,CIENCIADACOMPUTACAO,Ciência da Computação,,Ciência da Computação,,1,8,2024-11-12 20:03:28.997531,2024-11-12 20:03:28.997537
19,CIENCIADACOMPUTACAO,Ciência da Computação,,Ciência da Computação,,1,8,2024-11-12 20:03:29.001308,2024-11-12 20:03:29.001314
20,CIENCIASAMBIENTAIS,Ciências Ambientais,,Ciências Ambientais,,1,8,2024-11-12 20:03:29.004571,2024-11-12 20:03:29.004577
21,CIENCIASAMBIENTAIS,Ciências Ambientais,,Ciências Ambientais,,1,8,2024-11-12 20:03:29.008184,2024-11-12 20:03:29.008190
22,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,1,8,2024-11-12 20:03:29.011720,2024-11-12 20:03:29.011727
23,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,1,3,2024-11-12 20:03:29.015521,2024-11-12 20:03:29.015528
24,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,1,7,2024-11-12 20:03:29.019361,2024-11-12 20:03:29.019367
25,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,1,5,2024-11-12 20:03:29.022562,2024-11-12 20:03:29.022567
26,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,2,8,2024-11-12 20:03:29.025715,2024-11-12 20:03:29.025720
27,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,2,3,2024-11-12 20:03:29.028880,2024-11-12 20:03:29.028886
28,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,2,7,2024-11-12 20:03:29.032360,2024-11-12 20:03:29.032366
29,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,2,5,2024-11-12 20:03:29.035315,2024-11-12 20:03:29.035321
30,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,3,8,2024-11-12 20:03:29.042791,2024-11-12 20:03:29.042798
31,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,3,3,2024-11-12 20:03:29.046056,2024-11-12 20:03:29.046062
32,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,3,7,2024-11-12 20:03:29.049787,2024-11-12 20:03:29.049793
33,CIENCIASBIOLOGICAS,Ciências Biológicas,,Ciências Biológicas,,3,5,2024-11-12 20:03:29.052735,2024-11-12 20:03:29.052741
34,CIENCIASCONTABEIS,Ciências Contábeis,,Ciências Contábeis,,1,5,2024-11-12 20:03:29.055784,2024-11-12 20:03:29.055789
35,CIENCIASECONOMICAS,Ciências Econômicas,,Ciências Econômicas,,1,3,2024-11-12 20:03:29.058805,2024-11-12 20:03:29.058811
36,CIENCIASECONOMICAS,Ciências Econômicas,,Ciências Econômicas,,1,7,2024-11-12 20:03:29.062578,2024-11-12 20:03:29.062584
37,CIENCIASEXATAS,Ciências Exatas,,Ciências Exatas,,3,5,2024-11-12 20:03:29.065777,2024-11-12 20:03:29.065783
38,CIENCIASEXATAS,Ciências Exatas,,Física,,2,5,2024-11-12 20:03:29.068597,2024-11-12 20:03:29.068602
39,CIENCIASEXATAS,Ciências Exatas,,Matemática,,2,5,2024-11-12 20:03:29.071734,2024-11-12 20:03:29.071740
40,CIENCIASEXATAS,Ciências Exatas,,Química,,2,5,2024-11-12 20:03:29.074776,2024-11-12 20:03:29.074782
41,CIENCIASEXATASSEGUNDALICENCIATURA,Ciências Exatas (Segunda Licenciatura),,Física,,2,5,2024-11-12 20:03:29.077835,2024-11-12 20:03:29.077840
42,CIENCIASEXATASSEGUNDALICENCIATURA,Ciências Exatas (Segunda Licenciatura),,Matemática,,2,5,2024-11-12 20:03:29.080792,2024-11-12 20:03:29.080797
43,CIENCIASEXATASSEGUNDALICENCIATURA,Ciências Exatas (Segunda Licenciatura),,Química,,2,5,2024-11-12 20:03:29.083745,2024-11-12 20:03:29.083751
44,CIENCIAS,Ciências,,Ciências,,2,5,2024-11-12 20:03:29.087006,2024-11-12 20:03:29.087011
