id,nome_normalizado,nome,numero,created_at,updated_at
1,APROVEITAMENTOCURSOSUPERIOR,Aproveitamento Curso Superior,1,2024-11-12 20:03:28.304419,2024-11-12 20:03:28.304419
2,COMPLEMENTACAODEESTUDOS,Complementação de Estudos,2,2024-11-12 20:03:28.309388,2024-11-12 20:03:28.309388
3,EDUCACAONOCAMPO,Educação no Campo,3,2024-11-12 20:03:28.313841,2024-11-12 20:03:28.313841
4,MUDANCADECURRICULO,Mudança de Currículo,4,2024-11-12 20:03:28.318068,2024-11-12 20:03:28.318068
5,MUDANCADEHABILITACAO,Mudança de Habilitação,5,2024-11-12 20:03:28.322129,2024-11-12 20:03:28.322129
6,MUDANCADETURNO,Mudança de Turno,6,2024-11-12 20:03:28.327333,2024-11-12 20:03:28.327333
7,MUDANCADEVERSAO,Mudança de Versão,7,2024-11-12 20:03:28.332140,2024-11-12 20:03:28.332140
8,NAOINFORMADO,Não Informado,8,2024-11-12 20:03:28.336531,2024-11-12 20:03:28.336531
9,REOPCAO,Reopção,9,2024-11-12 20:03:28.340817,2024-11-12 20:03:28.340817
10,SISU,SISU,10,2024-11-12 20:03:28.345122,2024-11-12 20:03:28.345122
11,TRANSFERENCIAPROVAR,Transferência Provar,11,2024-11-12 20:03:28.349738,2024-11-12 20:03:28.349738
12,VESTIBULAR,Vestibular,12,2024-11-12 20:03:28.354143,2024-11-12 20:03:28.354143
13,REINTEGRACAODEEXALUNO,Reintegração de Ex-aluno,13,2024-11-12 20:03:28.358975,2024-11-12 20:03:28.358975
14,TRANSFERENCIAEXTERNAEEXOFICIO,Transferência Externa e Ex-ofício,14,2024-11-12 20:03:28.363048,2024-11-12 20:03:28.363048
15,DECISAOJUDICIAL,Decisão Judicial,15,2024-11-12 20:03:28.366974,2024-11-12 20:03:28.366974
16,SEGUNDALICENCIATURA,Segunda Licenciatura,16,2024-11-12 20:03:28.371117,2024-11-12 20:03:28.371117
17,PROVAR,Provar,17,2024-11-12 20:03:28.375526,2024-11-12 20:03:28.375526
18,MUDANCADECAMPUS,Mudança de Campus,18,2024-11-12 20:03:28.380004,2024-11-12 20:03:28.380004
19,ENEM,ENEM,19,2024-11-12 20:03:28.384260,2024-11-12 20:03:28.384260
20,REFUGIADO,Refugiado,20,2024-11-12 20:03:28.388581,2024-11-12 20:03:28.388581
21,CONVENIOPECG,Convênio Pec-G,21,2024-11-12 20:03:28.393302,2024-11-12 20:03:28.393302
22,TRANSFERENCIAEXOFICIO,Transferência Ex-Ofício,22,2024-11-12 20:03:28.397527,2024-11-12 20:03:28.397527
23,MOBILIDADEACADEMICA,Mobilidade Acadêmica,23,2024-11-12 20:03:28.402029,2024-11-12 20:03:28.402029
