id,linha,coluna,texto,curriculo_id,elenco_id,created_at,updated_at
1,1,1,CI068,3,12,2024-11-12 20:04:40.394406,2024-11-12 20:04:40.394416
2,2,1,CI055,3,2,2024-11-12 20:04:40.397816,2024-11-12 20:04:40.397823
3,3,1,CM046,3,29,2024-11-12 20:04:40.401084,2024-11-12 20:04:40.401092
4,4,1,CM045,3,28,2024-11-12 20:04:40.404431,2024-11-12 20:04:40.404438
5,5,1,CM201,3,30,2024-11-12 20:04:40.408341,2024-11-12 20:04:40.408349
6,1,2,CI210,3,19,2024-11-12 20:04:40.412065,2024-11-12 20:04:40.412073
7,2,2,CI056,3,3,2024-11-12 20:04:40.415492,2024-11-12 20:04:40.415499
8,3,2,CI067,3,11,2024-11-12 20:04:40.418708,2024-11-12 20:04:40.418715
9,4,2,CM005,3,27,2024-11-12 20:04:40.421840,2024-11-12 20:04:40.421847
10,5,2,CM202,3,31,2024-11-12 20:04:40.425519,2024-11-12 20:04:40.425527
11,1,3,CI212,3,21,2024-11-12 20:04:40.429134,2024-11-12 20:04:40.429141
12,2,3,CI057,3,4,2024-11-12 20:04:40.432657,2024-11-12 20:04:40.432664
13,3,3,CI064,3,9,2024-11-12 20:04:40.436037,2024-11-12 20:04:40.436044
14,4,3,CI237,3,26,2024-11-12 20:04:40.439135,2024-11-12 20:04:40.439141
15,5,3,CI166,3,17,2024-11-12 20:04:40.442271,2024-11-12 20:04:40.442277
16,1,4,CI215,3,22,2024-11-12 20:04:40.445840,2024-11-12 20:04:40.445848
17,2,4,CI062,3,8,2024-11-12 20:04:40.449426,2024-11-12 20:04:40.449433
18,3,4,CE003,3,1,2024-11-12 20:04:40.452847,2024-11-12 20:04:40.452853
19,4,4,CI058,3,5,2024-11-12 20:04:40.456206,2024-11-12 20:04:40.456213
20,5,4,CI164,3,15,2024-11-12 20:04:40.459444,2024-11-12 20:04:40.459450
21,1,5,CI162,3,13,2024-11-12 20:04:40.462485,2024-11-12 20:04:40.462498
22,2,5,CI065,3,10,2024-11-12 20:04:40.465500,2024-11-12 20:04:40.465506
23,3,5,CI059,3,6,2024-11-12 20:04:40.468341,2024-11-12 20:04:40.468348
24,4,5,CI061,3,7,2024-11-12 20:04:40.471311,2024-11-12 20:04:40.471317
25,5,5,SA214,3,32,2024-11-12 20:04:40.474417,2024-11-12 20:04:40.474424
26,1,6,CI163,3,14,2024-11-12 20:04:40.477454,2024-11-12 20:04:40.477460
27,2,6,CI165,3,16,2024-11-12 20:04:40.480485,2024-11-12 20:04:40.480491
28,3,6,CI209,3,18,2024-11-12 20:04:40.483763,2024-11-12 20:04:40.483769
29,4,6,CI218,3,23,2024-11-12 20:04:40.486757,2024-11-12 20:04:40.486763
30,5,6,CI220,3,24,2024-11-12 20:04:40.489786,2024-11-12 20:04:40.489793
31,1,7,CI221,3,25,2024-11-12 20:04:40.492892,2024-11-12 20:04:40.492899
32,2,7,CI211,3,20,2024-11-12 20:04:40.495890,2024-11-12 20:04:40.495896
33,3,7,OPT,3,33,2024-11-12 20:04:40.498953,2024-11-12 20:04:40.498959
34,4,7,OPT,3,33,2024-11-12 20:04:40.501697,2024-11-12 20:04:40.501704
35,5,7,TG I,3,34,2024-11-12 20:04:40.504806,2024-11-12 20:04:40.504813
36,1,8,OPT,3,33,2024-11-12 20:04:40.508360,2024-11-12 20:04:40.508377
37,2,8,OPT,3,33,2024-11-12 20:04:40.512610,2024-11-12 20:04:40.512620
38,3,8,OPT,3,33,2024-11-12 20:04:40.516283,2024-11-12 20:04:40.516291
39,4,8,OPT,3,33,2024-11-12 20:04:40.519844,2024-11-12 20:04:40.519851
