id,ano,periodo,periodo_normalizado,created_at,updated_at
1,2016,1° Semestre,1SEMESTRE,2024-11-12 20:04:47.722871,2024-11-12 20:04:47.722871
2,2016,2° Semestre,2SEMESTRE,2024-11-12 20:04:47.807760,2024-11-12 20:04:47.807760
3,2017,1° Semestre,1SEMESTRE,2024-11-12 20:04:47.872443,2024-11-12 20:04:47.872443
4,2017,2° Semestre,2SEMESTRE,2024-11-12 20:04:47.954797,2024-11-12 20:04:47.954797
5,2018,1° Semestre,1SEMESTRE,2024-11-12 20:04:47.998572,2024-11-12 20:04:47.998572
6,2018,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.072956,2024-11-12 20:04:48.072956
7,2019,1° Semestre,1SEMESTRE,2024-11-12 20:04:48.136292,2024-11-12 20:04:48.136292
8,2019,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.214721,2024-11-12 20:04:48.214721
9,2020,1° Semestre,1SEMESTRE,2024-11-12 20:04:48.269421,2024-11-12 20:04:48.269421
10,2020,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.394861,2024-11-12 20:04:48.394861
11,2020,Período Especial 1,PERIODOESPECIAL1,2024-11-12 20:04:48.428053,2024-11-12 20:04:48.428053
12,2020,Período Especial 2 (2020),PERIODOESPECIAL22020,2024-11-12 20:04:48.451343,2024-11-12 20:04:48.451343
13,2021,1° Semestre,1SEMESTRE,2024-11-12 20:04:48.495081,2024-11-12 20:04:48.495081
14,2021,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.534984,2024-11-12 20:04:48.534984
15,2022,1° Semestre,1SEMESTRE,2024-11-12 20:04:48.580903,2024-11-12 20:04:48.580903
16,2022,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.636450,2024-11-12 20:04:48.636450
17,2015,1° Semestre,1SEMESTRE,2024-11-12 20:04:48.702080,2024-11-12 20:04:48.702080
18,2015,2° Semestre,2SEMESTRE,2024-11-12 20:04:48.756092,2024-11-12 20:04:48.756092
19,2018,Período Especial 2,PERIODOESPECIAL2,2024-11-12 20:04:53.891639,2024-11-12 20:04:53.891639
20,2013,1° Semestre,1SEMESTRE,2024-11-12 20:04:56.397973,2024-11-12 20:04:56.397973
21,2013,2° Semestre,2SEMESTRE,2024-11-12 20:04:56.454119,2024-11-12 20:04:56.454119
22,2014,1° Semestre,1SEMESTRE,2024-11-12 20:04:56.501765,2024-11-12 20:04:56.501765
23,2014,2° Semestre,2SEMESTRE,2024-11-12 20:04:56.561250,2024-11-12 20:04:56.561250
24,2018,Período Especial 1,PERIODOESPECIAL1,2024-11-12 20:04:56.937675,2024-11-12 20:04:56.937675
25,2012,1° Semestre,1SEMESTRE,2024-11-12 20:04:57.602511,2024-11-12 20:04:57.602511
26,2012,2° Semestre,2SEMESTRE,2024-11-12 20:04:57.658860,2024-11-12 20:04:57.658860
27,2019,Período Especial 2,PERIODOESPECIAL2,2024-11-12 20:05:12.104343,2024-11-12 20:05:12.104343
28,2019,Anual,ANUAL,2024-11-12 20:05:19.983434,2024-11-12 20:05:19.983434
29,2015,Anual,ANUAL,2024-11-12 20:05:20.362045,2024-11-12 20:05:20.362045
30,2011,1° Semestre,1SEMESTRE,2024-11-12 20:05:58.977104,2024-11-12 20:05:58.977104
31,2011,2° Semestre,2SEMESTRE,2024-11-12 20:05:59.057534,2024-11-12 20:05:59.057534
32,2022,Anual,ANUAL,2024-11-12 20:07:02.539809,2024-11-12 20:07:02.539809
33,2023,1° Semestre,1SEMESTRE,2024-11-12 20:09:49.252802,2024-11-12 20:09:49.252802
34,2023,2° Semestre,2SEMESTRE,2024-11-12 20:09:49.352217,2024-11-12 20:09:49.352217
35,2024,1° Semestre,1SEMESTRE,2024-11-12 20:09:49.486996,2024-11-12 20:09:49.486996
