id,codigo,periodo_letivo_id,disciplina_id,created_at,updated_at
1,??,1,2178,2024-11-12 20:04:47.725838,2024-11-12 20:04:47.725838
2,??,1,2600,2024-11-12 20:04:47.755995,2024-11-12 20:04:47.755995
3,??,1,2198,2024-11-12 20:04:47.773965,2024-11-12 20:04:47.773965
4,??,1,2521,2024-11-12 20:04:47.785428,2024-11-12 20:04:47.785428
5,??,1,2523,2024-11-12 20:04:47.795694,2024-11-12 20:04:47.795694
6,??,2,2180,2024-11-12 20:04:47.810443,2024-11-12 20:04:47.810443
7,??,2,2601,2024-11-12 20:04:47.819404,2024-11-12 20:04:47.819404
8,??,2,2379,2024-11-12 20:04:47.829685,2024-11-12 20:04:47.829685
9,??,2,2196,2024-11-12 20:04:47.840013,2024-11-12 20:04:47.840013
10,??,2,2355,2024-11-12 20:04:47.850823,2024-11-12 20:04:47.850823
11,??,2,2503,2024-11-12 20:04:47.860917,2024-11-12 20:04:47.860917
12,??,3,2182,2024-11-12 20:04:47.875317,2024-11-12 20:04:47.875317
13,??,3,2325,2024-11-12 20:04:47.884424,2024-11-12 20:04:47.884424
14,??,3,2355,2024-11-12 20:04:47.894971,2024-11-12 20:04:47.894971
15,??,3,2192,2024-11-12 20:04:47.943458,2024-11-12 20:04:47.943458
16,??,4,2182,2024-11-12 20:04:47.957606,2024-11-12 20:04:47.957606
17,??,4,1719,2024-11-12 20:04:47.966972,2024-11-12 20:04:47.966972
18,??,4,2357,2024-11-12 20:04:47.977325,2024-11-12 20:04:47.977325
19,??,4,2503,2024-11-12 20:04:47.987377,2024-11-12 20:04:47.987377
20,??,5,2193,2024-11-12 20:04:48.001151,2024-11-12 20:04:48.001151
21,??,5,2318,2024-11-12 20:04:48.011094,2024-11-12 20:04:48.011094
22,??,5,2184,2024-11-12 20:04:48.020768,2024-11-12 20:04:48.020768
23,??,5,2360,2024-11-12 20:04:48.031501,2024-11-12 20:04:48.031501
24,??,5,2189,2024-11-12 20:04:48.042123,2024-11-12 20:04:48.042123
25,??,5,2224,2024-11-12 20:04:48.052156,2024-11-12 20:04:48.052156
26,??,5,2399,2024-11-12 20:04:48.061363,2024-11-12 20:04:48.061363
27,??,6,2185,2024-11-12 20:04:48.075505,2024-11-12 20:04:48.075505
28,??,6,2322,2024-11-12 20:04:48.084718,2024-11-12 20:04:48.084718
29,??,6,2320,2024-11-12 20:04:48.095272,2024-11-12 20:04:48.095272
30,??,6,2188,2024-11-12 20:04:48.105132,2024-11-12 20:04:48.105132
31,??,6,2362,2024-11-12 20:04:48.115571,2024-11-12 20:04:48.115571
32,??,6,2365,2024-11-12 20:04:48.125459,2024-11-12 20:04:48.125459
33,??,7,2356,2024-11-12 20:04:48.138956,2024-11-12 20:04:48.138956
34,??,7,2367,2024-11-12 20:04:48.148158,2024-11-12 20:04:48.148158
35,??,7,2353,2024-11-12 20:04:48.160276,2024-11-12 20:04:48.160276
36,??,7,10112,2024-11-12 20:04:48.171545,2024-11-12 20:04:48.171545
37,??,7,2447,2024-11-12 20:04:48.182731,2024-11-12 20:04:48.182731
38,??,7,2365,2024-11-12 20:04:48.193003,2024-11-12 20:04:48.193003
39,??,7,2388,2024-11-12 20:04:48.203807,2024-11-12 20:04:48.203807
40,??,8,2324,2024-11-12 20:04:48.217329,2024-11-12 20:04:48.217329
41,??,8,2429,2024-11-12 20:04:48.226752,2024-11-12 20:04:48.226752
42,??,8,2239,2024-11-12 20:04:48.236822,2024-11-12 20:04:48.236822
43,??,8,2389,2024-11-12 20:04:48.247978,2024-11-12 20:04:48.247978
44,??,8,2409,2024-11-12 20:04:48.257681,2024-11-12 20:04:48.257681
45,??,9,2301,2024-11-12 20:04:48.272206,2024-11-12 20:04:48.272206
46,??,9,2419,2024-11-12 20:04:48.281502,2024-11-12 20:04:48.281502
47,A,7,2249,2024-11-12 20:04:48.291784,2024-11-12 20:04:48.291784
48,D,7,2258,2024-11-12 20:04:48.302202,2024-11-12 20:04:48.302202
49,BCC,7,2613,2024-11-12 20:04:48.315361,2024-11-12 20:04:48.315361
50,BCC,7,2630,2024-11-12 20:04:48.325440,2024-11-12 20:04:48.325440
51,A,7,2237,2024-11-12 20:04:48.336613,2024-11-12 20:04:48.336613
52,B,8,2249,2024-11-12 20:04:48.347040,2024-11-12 20:04:48.347040
53,A,8,2258,2024-11-12 20:04:48.356908,2024-11-12 20:04:48.356908
54,BCC,8,2613,2024-11-12 20:04:48.367022,2024-11-12 20:04:48.367022
55,A,8,2237,2024-11-12 20:04:48.377549,2024-11-12 20:04:48.377549
56,B,10,2249,2024-11-12 20:04:48.397635,2024-11-12 20:04:48.397635
57,BCC,10,2613,2024-11-12 20:04:48.407238,2024-11-12 20:04:48.407238
58,BCC,10,2630,2024-11-12 20:04:48.417198,2024-11-12 20:04:48.417198
59,BCC,11,2630,2024-11-12 20:04:48.430645,2024-11-12 20:04:48.430645
60,A,11,2237,2024-11-12 20:04:48.440242,2024-11-12 20:04:48.440242
61,ERE 2 - D,12,2249,2024-11-12 20:04:48.453818,2024-11-12 20:04:48.453818
