id,nome,nome_normalizado,sigla,numero,created_at,updated_at
1,Coordenação do Curso de Medicina Veterinária,COORDENACAODOCURSODEMEDICINAVETERINARIA,,101,2024-11-12 20:03:28.590719,2024-11-12 20:03:28.590728
2,Departamento de Ciências Florestais,DEPARTAMENTODECIENCIASFLORESTAIS,,102,2024-11-12 20:03:28.592781,2024-11-12 20:03:28.592788
3,Departamento de Economia Rural e Extensão,DEPARTAMENTODEECONOMIARURALEEXTENSAO,,103,2024-11-12 20:03:28.594737,2024-11-12 20:03:28.594744
4,Departamento de Engenharia e Tecnologia Florestal,DEPARTAMENTODEENGENHARIAETECNOLOGIAFLORESTAL,,104,2024-11-12 20:03:28.596329,2024-11-12 20:03:28.596335
5,Departamento de Fitotecnia e Fitossanitarismo,DEPARTAMENTODEFITOTECNIAEFITOSSANITARISMO,,105,2024-11-12 20:03:28.597751,2024-11-12 20:03:28.597757
6,Departamento de Medicina Veterinária,DEPARTAMENTODEMEDICINAVETERINARIA,,106,2024-11-12 20:03:28.599451,2024-11-12 20:03:28.599457
7,Departamento de Solos e Engenharia Agrícola,DEPARTAMENTODESOLOSEENGENHARIAAGRICOLA,,107,2024-11-12 20:03:28.600918,2024-11-12 20:03:28.600924
8,Departamento de Zootecnia,DEPARTAMENTODEZOOTECNIA,,108,2024-11-12 20:03:28.602826,2024-11-12 20:03:28.602832
9,Hospital Veterinário,HOSPITALVETERINARIO,,109,2024-11-12 20:03:28.604201,2024-11-12 20:03:28.604207
10,Coordenação do Curso de Geologia,COORDENACAODOCURSODEGEOLOGIA,,117,2024-11-12 20:03:28.605694,2024-11-12 20:03:28.605699
11,Coordenação do Programa de Pós-Graduação em Geologia,COORDENACAODOPROGRAMADEPOSGRADUACAOEMGEOLOGIA,,120,2024-11-12 20:03:28.607124,2024-11-12 20:03:28.607130
12,Coordenação do Curso de Graduação em Oceanografia,COORDENACAODOCURSODEGRADUACAOEMOCEANOGRAFIA,,122,2024-11-12 20:03:28.608695,2024-11-12 20:03:28.608701
13,Departamento de Geografia,DEPARTAMENTODEGEOGRAFIA,,123,2024-11-12 20:03:28.609957,2024-11-12 20:03:28.609962
14,Departamento de Geologia,DEPARTAMENTODEGEOLOGIA,,124,2024-11-12 20:03:28.611461,2024-11-12 20:03:28.611467
15,Departamento de Geomática,DEPARTAMENTODEGEOMATICA,,125,2024-11-12 20:03:28.613052,2024-11-12 20:03:28.613058
16,Coordenação do Curso de Arquitetura e Urbanismo,COORDENACAODOCURSODEARQUITETURAEURBANISMO,,126,2024-11-12 20:03:28.614642,2024-11-12 20:03:28.614648
17,Coordenação do Curso de Engenharia Civil,COORDENACAODOCURSODEENGENHARIACIVIL,,129,2024-11-12 20:03:28.615987,2024-11-12 20:03:28.615992
18,Coordenação do Curso de Engenharia Elétrica,COORDENACAODOCURSODEENGENHARIAELETRICA,,130,2024-11-12 20:03:28.617620,2024-11-12 20:03:28.617627
19,Departamento de Arquitetura e Urbanismo,DEPARTAMENTODEARQUITETURAEURBANISMO,,136,2024-11-12 20:03:28.619253,2024-11-12 20:03:28.619259
20,Departamento de Construção Civil,DEPARTAMENTODECONSTRUCAOCIVIL,,137,2024-11-12 20:03:28.621028,2024-11-12 20:03:28.621035
21,Departamento de Engenharia Elétrica,DEPARTAMENTODEENGENHARIAELETRICA,,138,2024-11-12 20:03:28.622601,2024-11-12 20:03:28.622607
22,Departamento de Engenharia Mecânica,DEPARTAMENTODEENGENHARIAMECANICA,,139,2024-11-12 20:03:28.624350,2024-11-12 20:03:28.624356
23,Departamento de Engenharia Química,DEPARTAMENTODEENGENHARIAQUIMICA,,140,2024-11-12 20:03:28.625939,2024-11-12 20:03:28.625945
24,Departamento de Hidráulica e Saneamento,DEPARTAMENTODEHIDRAULICAESANEAMENTO,,141,2024-11-12 20:03:28.627669,2024-11-12 20:03:28.627675
25,Departamento de Transportes,DEPARTAMENTODETRANSPORTES,,142,2024-11-12 20:03:28.629127,2024-11-12 20:03:28.629133
26,Departamento de Planejamento e Administração Escolar,DEPARTAMENTODEPLANEJAMENTOEADMINISTRACAOESCOLAR,,158,2024-11-12 20:03:28.630773,2024-11-12 20:03:28.630779
27,Departamento de Teoria e Fundamentos da Educação,DEPARTAMENTODETEORIAEFUNDAMENTOSDAEDUCACAO,,159,2024-11-12 20:03:28.632238,2024-11-12 20:03:28.632245
28,Fazenda de Rio Negro,FAZENDADERIONEGRO,,163,2024-11-12 20:03:28.633734,2024-11-12 20:03:28.633740
