id,curriculo_id,codigo,nome,created_at,updated_at
1,3,CE003,ESTATÍSTICA II,2024-11-12 20:04:38.006715,2024-11-12 20:04:38.006715
2,3,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,2024-11-12 20:04:38.022231,2024-11-12 20:04:38.022231
3,3,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,2024-11-12 20:04:38.029711,2024-11-12 20:04:38.029711
4,3,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,2024-11-12 20:04:38.036403,2024-11-12 20:04:38.036403
5,3,CI058,REDES DE COMPUTADORES I,2024-11-12 20:04:38.043402,2024-11-12 20:04:38.043402
6,3,CI059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,2024-11-12 20:04:38.050514,2024-11-12 20:04:38.050514
7,3,CI061,REDES DE COMPUTADORES II,2024-11-12 20:04:38.056838,2024-11-12 20:04:38.056838
8,3,CI062,TÉCNICAS ALTERNATIVAS DE PROGRAMAÇÃO,2024-11-12 20:04:38.063569,2024-11-12 20:04:38.063569
9,3,CI064,SOFTWARE BÁSICO,2024-11-12 20:04:38.070418,2024-11-12 20:04:38.070418
10,3,CI065,ALGORITMOS E TEORIA DOS GRAFOS,2024-11-12 20:04:38.077122,2024-11-12 20:04:38.077122
11,3,CI067,OFICINA DE COMPUTAÇÃO,2024-11-12 20:04:38.083154,2024-11-12 20:04:38.083154
12,3,CI068,CIRCUITOS LÓGICOS,2024-11-12 20:04:38.088833,2024-11-12 20:04:38.088833
13,3,CI162,ENGENHARIA DE REQUISITOS,2024-11-12 20:04:38.094729,2024-11-12 20:04:38.094729
14,3,CI163,PROJETO DE SOFTWARE,2024-11-12 20:04:38.100597,2024-11-12 20:04:38.100597
15,3,CI164,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,2024-11-12 20:04:38.106185,2024-11-12 20:04:38.106185
16,3,CI165,ANÁLISE DE ALGORITMOS,2024-11-12 20:04:38.112095,2024-11-12 20:04:38.112095
17,3,CI166,METODOLOGIA CIENTÍFICA,2024-11-12 20:04:38.117958,2024-11-12 20:04:38.117958
18,3,CI209,INTELIGÊNCIA ARTIFICIAL,2024-11-12 20:04:38.123448,2024-11-12 20:04:38.123448
19,3,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,2024-11-12 20:04:38.129361,2024-11-12 20:04:38.129361
20,3,CI211,CONSTRUÇÃO DE COMPILARES,2024-11-12 20:04:38.136044,2024-11-12 20:04:38.136044
21,3,CI212,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,2024-11-12 20:04:38.142369,2024-11-12 20:04:38.142369
22,3,CI215,SISTEMAS OPERACIONAIS,2024-11-12 20:04:38.149684,2024-11-12 20:04:38.149684
23,3,CI218,SISTEMAS DE BANCOS DE DADOS,2024-11-12 20:04:38.157561,2024-11-12 20:04:38.157561
24,3,CI220,TEORIA DE SISTEMAS,2024-11-12 20:04:38.164688,2024-11-12 20:04:38.164688
25,3,CI221,ENGENHARIA DE SOFTWARE,2024-11-12 20:04:38.171424,2024-11-12 20:04:38.171424
26,3,CI237,MATEMÁTICA DISCRETA,2024-11-12 20:04:38.179159,2024-11-12 20:04:38.179159
27,3,CM005,ÁLGEBRA LINEAR,2024-11-12 20:04:38.186294,2024-11-12 20:04:38.186294
28,3,CM045,GEOMETRIA ANALÍTICA,2024-11-12 20:04:38.193263,2024-11-12 20:04:38.193263
29,3,CM046,INTRODUCAO A ALGEBRA,2024-11-12 20:04:38.200394,2024-11-12 20:04:38.200394
30,3,CM201,CALCULO DIFERENCIAL E INTEGRAL I,2024-11-12 20:04:38.207019,2024-11-12 20:04:38.207019
31,3,CM202,CALCULO DIFERENCIAL E INTEGRAL II,2024-11-12 20:04:38.213667,2024-11-12 20:04:38.213667
32,3,SA214,INTRODUCAO A TEORIA GERAL DA ADMINISTRACAO,2024-11-12 20:04:38.220813,2024-11-12 20:04:38.220813
33,3,Optativa,Optativa,2024-11-12 20:04:38.234221,2024-11-12 20:04:38.234221
34,3,TG1,Trabalho de Graduação 1,2024-11-12 20:04:38.463112,2024-11-12 20:04:38.463112
35,3,TG2,Trabalho de Graduação 2,2024-11-12 20:04:38.639334,2024-11-12 20:04:38.639334
36,4,CI1001,PROGRAMAÇÃO 1,2024-11-12 20:04:38.828445,2024-11-12 20:04:38.828445
37,4,CI1002,PROGRAMAÇÃO 2,2024-11-12 20:04:38.835059,2024-11-12 20:04:38.835059
38,4,CI1003,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,2024-11-12 20:04:38.842505,2024-11-12 20:04:38.842505
39,4,CI1055,ALGORITMOS E ESTRUTURAS DE DADOS 1,2024-11-12 20:04:38.849101,2024-11-12 20:04:38.849101
40,4,CI1056,ALGORITMOS E ESTRUTURAS DE DADOS 2,2024-11-12 20:04:38.855597,2024-11-12 20:04:38.855597
41,4,CI1057,ALGORITMOS E ESTRUTURAS DE DADOS 3,2024-11-12 20:04:38.862167,2024-11-12 20:04:38.862167
42,4,CI1068,CIRCUITOS DIGITAIS,2024-11-12 20:04:38.869321,2024-11-12 20:04:38.869321
43,4,CI1210,PROJETOS DIGITAIS E MICROPROCESSADORES,2024-11-12 20:04:38.876297,2024-11-12 20:04:38.876297
44,4,CI1212,ARQUITETURA DE COMPUTADORES,2024-11-12 20:04:38.882946,2024-11-12 20:04:38.882946
45,4,CI1237,MATEMÁTICA DISCRETA,2024-11-12 20:04:38.889265,2024-11-12 20:04:38.889265
46,4,CE009,INTRODUÇÃO À ESTATÍSTICA,2024-11-12 20:04:38.896147,2024-11-12 20:04:38.896147
47,4,CMA111,CÁLCULO 1A,2024-11-12 20:04:38.903338,2024-11-12 20:04:38.903338
48,4,CMA211,CÁLCULO 2A,2024-11-12 20:04:38.909882,2024-11-12 20:04:38.909882
49,4,CM303,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,2024-11-12 20:04:38.915701,2024-11-12 20:04:38.915701
50,4,CM304,COMPLEMENTOS DE MATEMÁTICA,2024-11-12 20:04:38.921628,2024-11-12 20:04:38.921628
51,4,CI1005,QUALIDADE DE SOFTWARE,2024-11-12 20:04:38.927650,2024-11-12 20:04:38.927650
52,4,CI1007,SEGURANÇA COMPUTACIONAL,2024-11-12 20:04:38.933275,2024-11-12 20:04:38.933275
53,4,CI1058,REDES DE COMPUTADORES 1,2024-11-12 20:04:38.939172,2024-11-12 20:04:38.939172
54,4,CI1059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,2024-11-12 20:04:38.944780,2024-11-12 20:04:38.944780
55,4,CI1061,REDES DE COMPUTADORES 2,2024-11-12 20:04:38.950633,2024-11-12 20:04:38.950633
56,4,CI1062,PARADIGMAS DE PROGRAMAÇÃO,2024-11-12 20:04:38.956463,2024-11-12 20:04:38.956463
